no chessboard
no chessboard
no chessboard
epipolar error: 1.341620 pixels   dimension: 0.032313 m
epipolar error: 2.069123 pixels   dimension: 0.032182 m
epipolar error: 1.577897 pixels   dimension: 0.032311 m
epipolar error: 0.952365 pixels   dimension: 0.032790 m
no chessboard
no chessboard
no chessboard
epipolar error: 0.738753 pixels   dimension: 0.033301 m
epipolar error: 1.145886 pixels   dimension: 0.033356 m
epipolar error: 1.810118 pixels   dimension: 0.033636 m
epipolar error: 2.071419 pixels   dimension: 0.033772 m
epipolar error: 2.193602 pixels   dimension: 0.033635 m
epipolar error: 2.822543 pixels   dimension: 0.033535 m
no chessboard
no chessboard
no chessboard
no chessboard
no chessboard
epipolar error: 3.298296 pixels   dimension: 0.035144 m
epipolar error: 2.981751 pixels   dimension: 0.034292 m
epipolar error: 3.106836 pixels   dimension: 0.034008 m
epipolar error: 3.157345 pixels   dimension: 0.033895 m
epipolar error: 3.043914 pixels   dimension: 0.033364 m
epipolar error: 3.182351 pixels   dimension: 0.033257 m
epipolar error: 3.379404 pixels   dimension: 0.033189 m
epipolar error: 3.399048 pixels   dimension: 0.032854 m
epipolar error: 3.179337 pixels   dimension: 0.033193 m
epipolar error: 3.142027 pixels   dimension: 0.033050 m
epipolar error: 3.189826 pixels   dimension: 0.033382 m
epipolar error: 3.199472 pixels   dimension: 0.033234 m
epipolar error: 3.128185 pixels   dimension: 0.033121 m
epipolar error: 3.130774 pixels   dimension: 0.033067 m
epipolar error: 3.230608 pixels   dimension: 0.033081 m
epipolar error: 3.230767 pixels   dimension: 0.032980 m
epipolar error: 3.128122 pixels   dimension: 0.033041 m
epipolar error: 2.933579 pixels   dimension: 0.033171 m
epipolar error: 2.966303 pixels   dimension: 0.033308 m
epipolar error: 3.202977 pixels   dimension: 0.033113 m
epipolar error: 3.173307 pixels   dimension: 0.033079 m
epipolar error: 3.114056 pixels   dimension: 0.033088 m
epipolar error: 3.091895 pixels   dimension: 0.033005 m
epipolar error: 3.228915 pixels   dimension: 0.033010 m
epipolar error: 3.328135 pixels   dimension: 0.032894 m
epipolar error: 3.171101 pixels   dimension: 0.032958 m
epipolar error: 3.108640 pixels   dimension: 0.032943 m
epipolar error: 2.883028 pixels   dimension: 0.033082 m
epipolar error: 2.985398 pixels   dimension: 0.033088 m
epipolar error: 3.007947 pixels   dimension: 0.033001 m
epipolar error: 3.200700 pixels   dimension: 0.032914 m
epipolar error: 3.128995 pixels   dimension: 0.032539 m
epipolar error: 3.088507 pixels   dimension: 0.032306 m
epipolar error: 2.596357 pixels   dimension: 0.033468 m
epipolar error: 2.052169 pixels   dimension: 0.034038 m
epipolar error: 1.998338 pixels   dimension: 0.034360 m
epipolar error: 2.194983 pixels   dimension: 0.034501 m
epipolar error: 2.597232 pixels   dimension: 0.034687 m
epipolar error: 3.346880 pixels   dimension: 0.034429 m
epipolar error: 3.868877 pixels   dimension: 0.033967 m
epipolar error: 3.502184 pixels   dimension: 0.033920 m
epipolar error: 4.034231 pixels   dimension: 0.034362 m
epipolar error: 3.945457 pixels   dimension: 0.034390 m
epipolar error: 4.062000 pixels   dimension: 0.033399 m
epipolar error: 3.952540 pixels   dimension: 0.032409 m
epipolar error: 2.848606 pixels   dimension: 0.031974 m
epipolar error: 2.724342 pixels   dimension: 0.031589 m
epipolar error: 3.269656 pixels   dimension: 0.031356 m
epipolar error: 2.915273 pixels   dimension: 0.031426 m
epipolar error: 2.604523 pixels   dimension: 0.031024 m
